observation_date,CLVMNACSCAB1GQFR
1980-01-01,276310.3
1980-04-01,274084.7
1980-07-01,274499.1
1980-10-01,274070.5
1981-01-01,275089.3
1981-04-01,277169.3
1981-07-01,279030.6
1981-10-01,280713.0
1982-01-01,282836.3
1982-04-01,284840.5
1982-07-01,284674.8
1982-10-01,286379.4
1983-01-01,287480.2
1983-04-01,287637.4
1983-07-01,288099.2
1983-10-01,289892.1
1984-01-01,291182.9
1984-04-01,292568.9
1984-07-01,294460.2
1984-10-01,294188.9
1985-01-01,294926.4
1985-04-01,297379.5
1985-07-01,299080.9
1985-10-01,300591.4
1986-01-01,301519.9
1986-04-01,304828.3
1986-07-01,306482.8
1986-10-01,306865.6
1987-01-01,307118.3
1987-04-01,311690.3
1987-07-01,313786.8
1987-10-01,318414.5
1988-01-01,322503.1
1988-04-01,325325.5
1988-07-01,329442.5
1988-10-01,332160.1
1989-01-01,336481.0
1989-04-01,340234.9
1989-07-01,344068.5
1989-10-01,348682.7
1990-01-01,349420.8
1990-04-01,351298.1
1990-07-01,353580.8
1990-10-01,353411.0
1991-01-01,354340.9
1991-04-01,355649.4
1991-07-01,357091.2
1991-10-01,358814.4
1992-01-01,361380.8
1992-04-01,361786.6
1992-07-01,361370.5
1992-10-01,361439.1
1993-01-01,359486.3
1993-04-01,359503.4
1993-07-01,359943.8
1993-10-01,360890.8
1994-01-01,363340.3
1994-04-01,366986.1
1994-07-01,370300.9
1994-10-01,373791.5
1995-01-01,375557.9
1995-04-01,378020.4
1995-07-01,378611.1
1995-10-01,378461.5
1996-01-01,381092.4
1996-04-01,381827.2
1996-07-01,383301.2
1996-10-01,384775.5
1997-01-01,386418.1
1997-04-01,390474.0
1997-07-01,394356.7
1997-10-01,398253.7
1998-01-01,402070.9
1998-04-01,404950.1
1998-07-01,407044.6
1998-10-01,409835.1
1999-01-01,412654.9
1999-04-01,415330.8
1999-07-01,421448.7
1999-10-01,427417.6
2000-01-01,431747.7
2000-04-01,436342.1
2000-07-01,439725.6
2000-10-01,442208.0
2001-01-01,444769.7
2001-04-01,444974.3
2001-07-01,447255.3
2001-10-01,445336.1
2002-01-01,447915.0
2002-04-01,450165.5
2002-07-01,451861.7
2002-10-01,452354.6
2003-01-01,453709.6
2003-04-01,451822.8
2003-07-01,456513.0
2003-10-01,458167.4
2004-01-01,463075.0
2004-04-01,465098.6
2004-07-01,466859.5
2004-10-01,471024.3
2005-01-01,472242.6
2005-04-01,473456.2
2005-07-01,477072.2
2005-10-01,480389.9
2006-01-01,484409.8
2006-04-01,490270.3
2006-07-01,490782.7
2006-10-01,493437.4
2007-01-01,498713.8
2007-04-01,501895.2
2007-07-01,503371.7
2007-10-01,503614.3
2008-01-01,507956.6
2008-04-01,504444.6
2008-07-01,503315.2
2008-10-01,497193.3
2009-01-01,487453.6
2009-04-01,488264.0
2009-07-01,489110.5
2009-10-01,493078.7
2010-01-01,494235.7
2010-04-01,496677.2
2010-07-01,499986.7
2010-10-01,503091.5
2011-01-01,509625.8
2011-04-01,509560.9
2011-07-01,511390.9
2011-10-01,512958.3
2012-01-01,513093.1
2012-04-01,510869.2
2012-07-01,512030.1
2012-10-01,512066.5
2013-01-01,512470.8
2013-04-01,516943.3
2013-07-01,516823.1
2013-10-01,520563.2
2014-01-01,520061.4
2014-04-01,520858.3
2014-07-01,524000.0
2014-10-01,522959.5
2015-01-01,525931.3
2015-04-01,526173.2
2015-07-01,527571.0
2015-10-01,528792.8
2016-01-01,530920.0
2016-04-01,529597.3
2016-07-01,530263.3
2016-10-01,533038.1
2017-01-01,536646.8
2017-04-01,541437.2
2017-07-01,545452.1
2017-10-01,548825.7
2018-01-01,548386.0
2018-04-01,549497.3
2018-07-01,552280.1
2018-10-01,556673.4
2019-01-01,561291.5
2019-04-01,564592.9
2019-07-01,564851.5
2019-10-01,561905.4
2020-01-01,533200.2
2020-04-01,467595.0
2020-07-01,540756.5
2020-10-01,540056.0
2021-01-01,542054.4
2021-04-01,549061.3
2021-07-01,564631.1
2021-10-01,567981.0
2022-01-01,567020.6
2022-04-01,569546.7
2022-07-01,572446.9
2022-10-01,573061.9
2023-01-01,572663.0
2023-04-01,576797.4
2023-07-01,577633.6
2023-10-01,580440.5
2024-01-01,580869.5
2024-04-01,582375.2
2024-07-01,584752.7
2024-10-01,584160.3
